https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USD
1463011200,2016-05-12 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1462924800,2016-05-11 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1462838400,2016-05-10 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1462752000,2016-05-09 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1462665600,2016-05-08 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1462579200,2016-05-07 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1462492800,2016-05-06 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1462406400,2016-05-05 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1462320000,2016-05-04 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1462233600,2016-05-03 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
