https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume QTUM
1563062400,2019-07-14 00:00:00,QTUM/USD,3.564,3.586,3.029,3.042,91322.04,28173.86
1562976000,2019-07-13 00:00:00,QTUM/USD,3.822,3.834,3.346,3.564,46306.64,12952.06
1562889600,2019-07-12 00:00:00,QTUM/USD,3.566,3.937,3.5,3.822,51186.35,13649.04
1562803200,2019-07-11 00:00:00,QTUM/USD,4.207,4.207,3.338,3.566,195704.79,54985.04
1562716800,2019-07-10 00:00:00,QTUM/USD,4.794,4.847,4.011,4.207,106307.06,24349.67
1562630400,2019-07-09 00:00:00,QTUM/USD,5.035,5.035,4.744,4.794,40553.85,8374.86
1562544000,2019-07-08 00:00:00,QTUM/USD,4.85,5.4,4.753,5.035,81420.85,16505.48
1562457600,2019-07-07 00:00:00,QTUM/USD,4.848,4.855,4.7,4.85,102987.25,21509.09
1562371200,2019-07-06 00:00:00,QTUM/USD,4.784,4.925,4.769,4.848,20209.64,4170.22
1562284800,2019-07-05 00:00:00,QTUM/USD,4.648,4.9,4.648,4.784,22030.38,4542.01
1562198400,2019-07-04 00:00:00,QTUM/USD,5.174,5.174,4.648,4.648,39598.34,8004.87
1562112000,2019-07-03 00:00:00,QTUM/USD,5.285,5.3,4.842,5.174,72250.67,14223.21
1562025600,2019-07-02 00:00:00,QTUM/USD,4.914,5.3,4.402,5.285,178814.99,36259.41
1561939200,2019-07-01 00:00:00,QTUM/USD,4.98,5.098,4.502,4.914,100251.18,21321.66
1561852800,2019-06-30 00:00:00,QTUM/USD,5.545,5.6,4.834,4.98,93308.18,18173.29
1561766400,2019-06-29 00:00:00,QTUM/USD,5.2,5.8,4.6,5.545,252895.44,47159.49
1561680000,2019-06-28 00:00:00,QTUM/USD,4.344,5.224,4.311,5.2,102909.42,21711.82
1561593600,2019-06-27 00:00:00,QTUM/USD,5.232,5.571,3.946,4.344,663121.68,137877.28
1561507200,2019-06-26 00:00:00,QTUM/USD,5.311,5.85,4.75,5.232,319145.09,60324.22
1561420800,2019-06-25 00:00:00,QTUM/USD,4.173,5.416,4.17,5.311,213402.17,44162.47
1561334400,2019-06-24 00:00:00,QTUM/USD,3.875,4.3,3.72,4.173,103860.79,25801.22
1561248000,2019-06-23 00:00:00,QTUM/USD,3.932,4.104,3.853,3.875,51850.87,12999.83
1561161600,2019-06-22 00:00:00,QTUM/USD,3.575,4.18,3.575,3.932,116299.42,29917.62
1561075200,2019-06-21 00:00:00,QTUM/USD,3.524,3.602,3.5,3.575,22258.12,6235.1
1560988800,2019-06-20 00:00:00,QTUM/USD,3.58,3.606,3.438,3.524,32962.28,9381.57
1560902400,2019-06-19 00:00:00,QTUM/USD,3.558,3.76,3.517,3.58,28660.6,7958.52
1560816000,2019-06-18 00:00:00,QTUM/USD,3.687,3.687,3.523,3.558,45633.65,12857.89
1560729600,2019-06-17 00:00:00,QTUM/USD,3.671,3.775,3.597,3.687,42612.79,11769.04
1560643200,2019-06-16 00:00:00,QTUM/USD,3.534,3.754,3.5,3.671,47553.97,13087.65
1560556800,2019-06-15 00:00:00,QTUM/USD,3.429,3.606,3.429,3.534,20391.81,5757.35
1560470400,2019-06-14 00:00:00,QTUM/USD,3.3,3.464,3.258,3.429,19330.75,5701.46
1560384000,2019-06-13 00:00:00,QTUM/USD,3.209,3.5,3.195,3.3,65845.76,19479.17
1560297600,2019-06-12 00:00:00,QTUM/USD,3.149,3.261,3.13,3.209,10762.75,3393.11
