https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EOS
1600732800000,2020-09-22 00:00:00,EOS/USD,2.5119,2.5913,2.49,2.5758,632303.5660618173,245478.51776606
1600646400000,2020-09-21 00:00:00,EOS/USD,2.669,2.6928,2.4944,2.5102,1920768.6182450675,765185.4904968
1600560000000,2020-09-20 00:00:00,EOS/USD,2.7041,2.7042,2.6284,2.6747,639219.8049944486,238987.47709816
1600473600000,2020-09-19 00:00:00,EOS/USD,2.697,2.7427,2.6855,2.7069,872513.18133595,322329.29969188
1600387200000,2020-09-18 00:00:00,EOS/USD,2.7442,2.7576,2.6578,2.6962,2622883.423019764,972807.44122089
1600300800000,2020-09-17 00:00:00,EOS/USD,2.7159,2.786,2.7002,2.7433,2175326.9701259355,792959.92787006
1600214400000,2020-09-16 00:00:00,EOS/USD,2.7087,2.759,2.5828,2.7199,3539580.7630117885,1301364.30126541
1600128000000,2020-09-15 00:00:00,EOS/USD,2.7352,2.78803719,2.69867235,2.7084,4646508.564519215,1715591.70156521
1600041600000,2020-09-14 00:00:00,EOS/USD,2.7248,2.768,2.6914,2.7317,1512636.7126891692,553734.5655413
1599955200000,2020-09-13 00:00:00,EOS/USD,2.8107,2.8304,2.6762,2.7192,2440017.7801469304,897329.28072482
1599868800000,2020-09-12 00:00:00,EOS/USD,2.7896,2.833,2.74340687,2.8089,2044753.9805009095,727955.42044961
1599782400000,2020-09-11 00:00:00,EOS/USD,2.7802,2.8237,2.7204,2.7889,2861579.43330683,1026060.25074647
1599696000000,2020-09-10 00:00:00,EOS/USD,2.7607,2.8512,2.7487,2.7825,2366253.0762861064,850405.41825197
1599609600000,2020-09-09 00:00:00,EOS/USD,2.7692,2.8198,2.7036,2.7553,717579.9659794256,260436.23778878
1599523200000,2020-09-08 00:00:00,EOS/USD,2.8608,2.86862336,2.6772,2.769,2019234.8917367847,729228.92442643
1599436800000,2020-09-07 00:00:00,EOS/USD,2.9075,2.9453,2.6727,2.8595,4648640.75768648,1625683.07665203
1599350400000,2020-09-06 00:00:00,EOS/USD,2.9465,3.0299,2.8217,2.9081,1634988.5626991182,562218.82421482
1599264000000,2020-09-05 00:00:00,EOS/USD,3.0049,3.1605,2.7824,2.9359,10775526.464653505,3670263.45061259
1599177600000,2020-09-04 00:00:00,EOS/USD,2.6138,3.2453,2.5841,3.0074,13458399.53793264,4475094.6125998
