https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1599782400000,2020-09-11 00:00:00,OMG/USD,3.8486,3.9108,3.6551,3.8547,880787.2037250277,228496.95273952
1599696000000,2020-09-10 00:00:00,OMG/USD,3.8537,4.08,3.7455,3.8427,2392610.0557287373,622637.74318285
1599609600000,2020-09-09 00:00:00,OMG/USD,3.5236,3.9145,3.4589,3.8538,2319689.041340761,601922.52876142
1599523200000,2020-09-08 00:00:00,OMG/USD,3.6197,3.8247,3.4,3.5403,1534826.0479053287,433529.94037379
1599436800000,2020-09-07 00:00:00,OMG/USD,3.9244,3.9585,3.3085,3.6074,1793851.1992083236,497269.83401018
1599350400000,2020-09-06 00:00:00,OMG/USD,3.7706,4.0565,3.3836,3.9296,2365226.0914153797,601899.96218836
1599264000000,2020-09-05 00:00:00,OMG/USD,4.2559,4.5652,3.42,3.7751,3706642.199962672,981865.96380564
1599177600000,2020-09-04 00:00:00,OMG/USD,3.5529,4.4799,3.3,4.2602,8978174.30445623,2107453.71213939
1599091200000,2020-09-03 00:00:00,OMG/USD,4.381,4.449999999999999,3.4235000000000007,3.5421999999999993,11811198.86521567,3450036.18087211
1599004800000,2020-09-02 00:00:00,OMG/USD,5.0214,5.240600000000001,4.0763,4.3818,12233046.70879583,3001017.27272179
1598918400000,2020-09-01 00:00:00,OMG/USD,5.1351,5.173,4.9468,5.0001,2019541.0746951676,408252.01639346
