https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETP
1600387200000,2020-09-18 00:00:00,ETP/USD,0.21868,0.21868,0.2105,0.2105,9412.687688225235,44715.85600107
1600300800000,2020-09-17 00:00:00,ETP/USD,0.22023,0.227,0.21171,0.21501,5289.689449799814,24602.062461280002
1600214400000,2020-09-16 00:00:00,ETP/USD,0.21,0.23345,0.21,0.22113,19889.94022039247,89946.81961015
1600128000000,2020-09-15 00:00:00,ETP/USD,0.22897,0.2385,0.21,0.21,31717.998065390697,151038.08602567
1600041600000,2020-09-14 00:00:00,ETP/USD,0.1888,0.244,0.1888,0.22922,132145.43574907686,576500.46134315
1599955200000,2020-09-13 00:00:00,ETP/USD,0.20157,0.20266,0.18724,0.1888,4508.242069348352,23878.40079104
1599868800000,2020-09-12 00:00:00,ETP/USD,0.20014,0.20765,0.19684,0.19772,11681.328946683023,59080.15854078
1599782400000,2020-09-11 00:00:00,ETP/USD,0.18668,0.20699,0.17916,0.20063,27354.274467425035,136341.89536672
1599696000000,2020-09-10 00:00:00,ETP/USD,0.18668,0.1948,0.18668,0.1867,3499.885744408842,18746.04040926
1599609600000,2020-09-09 00:00:00,ETP/USD,0.1846,0.1932,0.17905,0.18668,19939.509824314944,106811.17326074
1599523200000,2020-09-08 00:00:00,ETP/USD,0.189,0.1986,0.1721,0.18526,45638.792823540636,246349.95586495
1599436800000,2020-09-07 00:00:00,ETP/USD,0.17906,0.192,0.17164,0.189,38199.25767920535,202112.47449315
1599350400000,2020-09-06 00:00:00,ETP/USD,0.16981,0.18297,0.16731,0.17331,6534.647164893916,37704.96315789
1599264000000,2020-09-05 00:00:00,ETP/USD,0.1824,0.19,0.1698,0.1698,28279.156571701133,166543.91384983
1599177600000,2020-09-04 00:00:00,ETP/USD,0.17025,0.195,0.16543,0.1824,46300.288374599615,253839.30029934
1599091200000,2020-09-03 00:00:00,ETP/USD,0.19022,0.19093,0.165,0.17009,62063.33353681229,364885.25802112
1599004800000,2020-09-02 00:00:00,ETP/USD,0.20328,0.20328000000000002,0.1834,0.18647999999999998,41653.936767683765,227120.70211387
1598918400000,2020-09-01 00:00:00,ETP/USD,0.20622,0.20985000000000004,0.196,0.2,20284.0804761266,103490.20651085
1598832000000,2020-08-31 00:00:00,ETP/USD,0.20047,0.217,0.19508,0.20986000000000002,69509.21601082858,356311.33899338
1598745600000,2020-08-30 00:00:00,ETP/USD,0.18736,0.205,0.18736,0.205,41314.732157045204,220509.88555212
