https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1599177600000,2020-09-04 00:00:00,REP/USD,16.49,17.291,16.0,16.45,216.95708060599998,13.18888028
1599091200000,2020-09-03 00:00:00,REP/USD,20.255,20.255,15.76,15.76,3190.5132278247997,202.44373273
1599004800000,2020-09-02 00:00:00,REP/USD,21.668,21.927,20.223,20.628,291.58670041776,14.135480920000001
1598486400000,2020-08-27 00:00:00,REP/USD,23.214,23.214,21.148,21.807,83.62337747993999,3.83470342
1598400000000,2020-08-26 00:00:00,REP/USD,21.12,22.563,21.12,22.563,22.20118063452,0.98396404
1598313600000,2020-08-25 00:00:00,REP/USD,22.993,22.993,20.717,21.485,3532.9160000726497,164.43639749
1598227200000,2020-08-24 00:00:00,REP/USD,23.139,23.139,22.757,23.138,414.67656865136007,17.92188472
1598140800000,2020-08-23 00:00:00,REP/USD,24.289,24.289,23.3,23.636,2308.31988825816,97.66119006000001
1598054400000,2020-08-22 00:00:00,REP/USD,24.758,26.575,23.242,25.187,9405.42586214036,373.42382428
1597968000000,2020-08-21 00:00:00,REP/USD,21.078,28.234,19.826,26.25,8400.049151025,320.00187242
1597881600000,2020-08-20 00:00:00,REP/USD,19.828,19.918,19.579,19.579,170.92485717524,8.73000956
1597795200000,2020-08-19 00:00:00,REP/USD,20.133,20.133,19.69,19.69,2778.5300365911003,141.11376519
1597622400000,2020-08-17 00:00:00,REP/USD,22.186,22.228,20.99,21.4,597.5924799359999,27.92488224
1597536000000,2020-08-16 00:00:00,REP/USD,21.777,21.777,21.6,21.6,306.79280064000005,14.2033704
1597449600000,2020-08-15 00:00:00,REP/USD,21.547,21.547,21.547,21.547,8.6188,0.4
1597363200000,2020-08-14 00:00:00,REP/USD,21.381,21.705,20.796,21.358000000000004,1175.08113745668,56.505151829999996
1597276800000,2020-08-13 00:00:00,REP/USD,20.158,21.025,20.158,20.794000000000004,638.23515185218,31.66163071
1597190400000,2020-08-12 00:00:00,REP/USD,19.629,20.189,19.268,19.568999999999996,243.98412594351998,12.66265964
1597104000000,2020-08-11 00:00:00,REP/USD,20.947,20.946999999999996,20.156,20.162,483.90440023864,24.00795794
1597017600000,2020-08-10 00:00:00,REP/USD,21.872,21.872000000000003,20.34,21.307,59.8895579214,2.94442271
1596931200000,2020-08-09 00:00:00,REP/USD,20.716,21.753,20.716,21.588,96.27246518140001,4.64725165
1596844800000,2020-08-08 00:00:00,REP/USD,20.876,21.189999999999998,20.473,21.189999999999998,67.5609,3.3000000000000003
1596758400000,2020-08-07 00:00:00,REP/USD,20.912,20.912,20.518,20.518,104.33441532804001,5.08501878
1596672000000,2020-08-06 00:00:00,REP/USD,20.642,21.527,20.393,21.361000000000004,246.98897176299,12.111458429999999
1596585600000,2020-08-05 00:00:00,REP/USD,20.861,20.914,20.771,20.854,1110.8731586830502,53.481929550000004
1596499200000,2020-08-04 00:00:00,REP/USD,20.543,21.558000000000003,20.196,20.529,2987.8327733522406,147.94180894000002
1596412800000,2020-08-03 00:00:00,REP/USD,20.265,20.588,19.823,20.443999999999996,196.12609798703002,9.89386561
1596326400000,2020-08-02 00:00:00,REP/USD,20.477,20.567999999999998,18.723,19.400999999999996,775.6875646216799,41.42966216
1596240000000,2020-08-01 00:00:00,REP/USD,20.508,20.507999999999996,19.622,20.405,10971.76539816168,559.15632444
1596153600000,2020-07-31 00:00:00,REP/USD,22.168,22.99,19.702,19.702,4492.70921311132,228.03315466
1596067200000,2020-07-30 00:00:00,REP/USD,22.008,24.384,22.006,24.384,189.2516,8.6
1595980800000,2020-07-29 00:00:00,REP/USD,21.985,24.355000000000004,21.985,22.033,35.24285132845,1.60304077
1595894400000,2020-07-28 00:00:00,REP/USD,20.316,21.956999999999997,20.316,20.594999999999995,253.81332918899997,12.49327275
1595808000000,2020-07-27 00:00:00,REP/USD,22.63,22.63,19.635,19.76,1101.5564699139002,56.10167914
1595721600000,2020-07-26 00:00:00,REP/USD,23.139,24.5,22,22.625,762.14322206,34.64287373
1595635200000,2020-07-25 00:00:00,REP/USD,23.899,24.143999999999995,23.343,24.124,746.86413754284,31.995207880000002
1595462400000,2020-07-23 00:00:00,REP/USD,23.49,24.4,22.104,22.314,2162.3846368392,97.8277523
1595376000000,2020-07-22 00:00:00,REP/USD,24.0,25.517,23.057,23.740999999999996,5527.40315346253,239.72776829
1595289600000,2020-07-21 00:00:00,REP/USD,19.626,23.890000000000004,19.626,23.578,1536.22228126758,78.27485383
1595203200000,2020-07-20 00:00:00,REP/USD,18.962,19.653000000000002,18.88,19.170000000000005,262.7483427072,13.91675544
