https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETC
1602460800000,2020-10-12 00:00:00,ETC/USD,6.1734,6.2,5.6202,5.9186,1456002.6057358568,246004.56285876
1602374400000,2020-10-11 00:00:00,ETC/USD,6.1101,6.2725,6.07,6.1999,334716.61063529726,53987.42086732
1602288000000,2020-10-10 00:00:00,ETC/USD,6.1052,6.35,6.0898,6.11,698602.2614048335,114337.52232485
1602201600000,2020-10-09 00:00:00,ETC/USD,5.9315,6.2,5.8129,6.1056,2025783.2433406117,331791.0186289
1602115200000,2020-10-08 00:00:00,ETC/USD,5.793,6.18,5.7925,5.9627,484469.5519584466,81250.02967757
1602028800000,2020-10-07 00:00:00,ETC/USD,5.95,5.9749,5.7539,5.7974,307709.73321054154,53077.19550325
1601942400000,2020-10-06 00:00:00,ETC/USD,6.0109,6.285,5.9101,5.95,441721.60446519003,74238.9251202
1601856000000,2020-10-05 00:00:00,ETC/USD,5.9727,6.0482,5.9,6.029,426244.93794703163,70699.11062316
1601769600000,2020-10-04 00:00:00,ETC/USD,5.6872,6.28,5.6872,5.9763,1934218.0180548527,323648.07959019
1601683200000,2020-10-03 00:00:00,ETC/USD,5.6202,5.7199,5.6154,5.6993,452991.0655929929,79481.87770305
1601596800000,2020-10-02 00:00:00,ETC/USD,5.8009,5.858,5.5714,5.6606,399017.76634820725,70490.36610045
1601510400000,2020-10-01 00:00:00,ETC/USD,5.7502,5.9,5.609,5.8013,1241236.132371953,213958.27355454
1601424000000,2020-09-30 00:00:00,ETC/USD,5.7414,5.8241,5.6296,5.7506,638713.7783827167,111069.06729432
1601337600000,2020-09-29 00:00:00,ETC/USD,5.7262,5.8301,5.712,5.7518,758008.7140492386,131786.34758671
1601251200000,2020-09-28 00:00:00,ETC/USD,5.7427,5.869,5.7252,5.7285,607500.1834536935,106048.73587391
1601164800000,2020-09-27 00:00:00,ETC/USD,5.8097,6.03,5.6802,5.7427,850263.6507942639,148059.91098164
1601078400000,2020-09-26 00:00:00,ETC/USD,5.8444,5.8996,5.6813,5.8584,699637.5504602446,119424.68087878
1600992000000,2020-09-25 00:00:00,ETC/USD,5.8687,5.9433,5.7332,5.7986,181642.44144426164,31325.22357884
1600905600000,2020-09-24 00:00:00,ETC/USD,5.8901,5.9432,5.7857,5.8675,439428.6916626171,74891.97983172
1600819200000,2020-09-23 00:00:00,ETC/USD,5.9277,6.0264,5.811,5.89,623844.404529416,105915.8581544
1600732800000,2020-09-22 00:00:00,ETC/USD,5.877,6.15,5.801,5.8982,788755.5085627101,133728.17275825
1600646400000,2020-09-21 00:00:00,ETC/USD,6.0776,7.4675,4.9973,5.877,6025583.764427027,1025282.24679718
1600560000000,2020-09-20 00:00:00,ETC/USD,6.1846,6.2692,6.011,6.0775,476841.1383991434,78460.08036185
1600473600000,2020-09-19 00:00:00,ETC/USD,6.214,6.2764,6.15,6.2419,631794.6252157951,101218.31897592
1600387200000,2020-09-18 00:00:00,ETC/USD,6.1002,6.315,6.072,6.2721,1229185.8156303314,195976.7566892
1600300800000,2020-09-17 00:00:00,ETC/USD,6.17,6.2354,6.1,6.1001,510745.3560813189,83727.37431867
1600214400000,2020-09-16 00:00:00,ETC/USD,6.0621,6.36,6.0013,6.1307,1106669.8954842805,180512.81182969
1600128000000,2020-09-15 00:00:00,ETC/USD,6.0995,6.4694,5.9039,6.062,2475802.40552544,408413.46181548
1600041600000,2020-09-14 00:00:00,ETC/USD,5.8348,6.197,5.8026,5.9887,902612.4571372519,150719.264137
1599955200000,2020-09-13 00:00:00,ETC/USD,5.9536,6.2099,5.8,5.8265,533421.6437761924,91550.95576696
1599868800000,2020-09-12 00:00:00,ETC/USD,5.7042,6.1345,5.64,5.9538,1491269.636043697,250473.58595245
1599782400000,2020-09-11 00:00:00,ETC/USD,5.5825,5.8497,5.46,5.7095,1439177.6734451246,252067.19913217
1599696000000,2020-09-10 00:00:00,ETC/USD,5.3584,6.02,5.3297,5.5572,2372468.620019881,426917.98388035
1599609600000,2020-09-09 00:00:00,ETC/USD,5.2844,5.4142,5.0064,5.3203,1688064.819392742,317287.52502542
1599523200000,2020-09-08 00:00:00,ETC/USD,5.5935,5.6498,5.0583,5.2842,3947305.251120894,747001.48577285
1599436800000,2020-09-07 00:00:00,ETC/USD,5.757,5.96,5.4776,5.5853,508623.4297070723,91064.65717277
1599350400000,2020-09-06 00:00:00,ETC/USD,5.6006,6.5,5.1983,5.7574,479753.86388854124,83328.21479983
1599264000000,2020-09-05 00:00:00,ETC/USD,5.5911,6.0606,5.2428,5.7865,522111.6976547119,90229.27463142
1599177600000,2020-09-04 00:00:00,ETC/USD,5.8301,5.8301,4.8698,5.5799,2012262.8110750644,360627.03831163
1599091200000,2020-09-03 00:00:00,ETC/USD,6.3297,6.549199999999999,5.3386,5.8302,2340869.300767641,438479.99489897
1599004800000,2020-09-02 00:00:00,ETC/USD,6.743,6.813000000000001,6.0298,6.325200000000001,949628.3105398931,157489.18878568
1598918400000,2020-09-01 00:00:00,ETC/USD,6.5974,6.829700000000001,6.5145,6.737399999999999,450682.2026264691,69181.39575201
1598832000000,2020-08-31 00:00:00,ETC/USD,6.7161,6.7684,6.5654,6.6167,525909.5806641878,80103.20478024
1598745600000,2020-08-30 00:00:00,ETC/USD,6.52,6.728299999999999,6.4445,6.7125,1378454.701681146,213896.2994307
1598659200000,2020-08-29 00:00:00,ETC/USD,6.5341,6.650000000000001,6.479,6.5134,157159.41563049113,24256.73956328
1598572800000,2020-08-28 00:00:00,ETC/USD,6.3598,6.621500000000001,6.2849,6.5481,276822.11269969324,44045.58747151
1598486400000,2020-08-27 00:00:00,ETC/USD,6.4713,6.7449,6.21,6.359800000000001,680479.9057382274,109578.08465994
